,episode,score
0,0.0,6.0
1,1.0,4.0
2,2.0,7.0
3,3.0,6.0
4,4.0,2.0
5,5.0,7.0
6,6.0,4.0
7,7.0,2.0
8,8.0,2.0
9,9.0,5.0
10,10.0,4.0
11,11.0,5.0
12,12.0,0.0
13,13.0,4.0
14,14.0,3.0
15,15.0,3.0
16,16.0,4.0
17,17.0,8.0
18,18.0,3.0
19,19.0,5.0
20,20.0,4.0
21,21.0,4.0
22,22.0,6.0
23,23.0,5.0
24,24.0,3.0
25,25.0,5.0
26,26.0,2.0
27,27.0,3.0
28,28.0,5.0
29,29.0,5.0
30,30.0,9.0
31,31.0,3.0
32,32.0,5.0
33,33.0,2.0
34,34.0,6.0
35,35.0,4.0
36,36.0,3.0
37,37.0,5.0
38,38.0,7.0
39,39.0,3.0
40,40.0,3.0
41,41.0,5.0
42,42.0,1.0
43,43.0,2.0
44,44.0,2.0
45,45.0,4.0
46,46.0,4.0
47,47.0,5.0
48,48.0,0.0
49,49.0,3.0
50,50.0,2.0
51,51.0,6.0
52,52.0,4.0
53,53.0,3.0
54,54.0,4.0
55,55.0,3.0
56,56.0,8.0
57,57.0,0.0
58,58.0,6.0
59,59.0,3.0
60,60.0,4.0
61,61.0,5.0
62,62.0,4.0
63,63.0,6.0
64,64.0,7.0
65,65.0,7.0
66,66.0,4.0
67,67.0,3.0
68,68.0,4.0
69,69.0,6.0
70,70.0,3.0
71,71.0,4.0
72,72.0,5.0
73,73.0,3.0
74,74.0,4.0
75,75.0,4.0
76,76.0,2.0
77,77.0,5.0
78,78.0,5.0
79,79.0,5.0
80,80.0,3.0
81,81.0,2.0
82,82.0,6.0
83,83.0,6.0
84,84.0,5.0
85,85.0,1.0
86,86.0,6.0
87,87.0,7.0
88,88.0,6.0
89,89.0,4.0
90,90.0,4.0
91,91.0,3.0
92,92.0,6.0
93,93.0,5.0
94,94.0,6.0
95,95.0,3.0
96,96.0,6.0
97,97.0,5.0
98,98.0,3.0
99,99.0,4.0
100,100.0,7.0
101,101.0,6.0
102,102.0,3.0
103,103.0,3.0
104,104.0,6.0
105,105.0,5.0
106,106.0,5.0
107,107.0,6.0
108,108.0,6.0
109,109.0,5.0
110,110.0,8.0
111,111.0,7.0
112,112.0,5.0
113,113.0,3.0
114,114.0,3.0
115,115.0,2.0
116,116.0,2.0
117,117.0,5.0
118,118.0,3.0
119,119.0,3.0
120,120.0,5.0
121,121.0,6.0
122,122.0,4.0
123,123.0,6.0
124,124.0,3.0
125,125.0,1.0
126,126.0,5.0
127,127.0,6.0
128,128.0,5.0
129,129.0,3.0
130,130.0,4.0
131,131.0,2.0
132,132.0,3.0
133,133.0,2.0
134,134.0,3.0
135,135.0,5.0
136,136.0,3.0
137,137.0,4.0
138,138.0,4.0
139,139.0,5.0
140,140.0,0.0
141,141.0,3.0
142,142.0,5.0
143,143.0,1.0
144,144.0,2.0
145,145.0,3.0
146,146.0,5.0
147,147.0,5.0
148,148.0,4.0
149,149.0,6.0
150,150.0,2.0
151,151.0,4.0
152,152.0,7.0
153,153.0,6.0
154,154.0,4.0
155,155.0,2.0
156,156.0,4.0
157,157.0,2.0
158,158.0,5.0
159,159.0,7.0
160,160.0,3.0
161,161.0,5.0
162,162.0,7.0
163,163.0,7.0
164,164.0,6.0
165,165.0,4.0
166,166.0,6.0
167,167.0,2.0
168,168.0,5.0
169,169.0,8.0
170,170.0,4.0
171,171.0,4.0
172,172.0,5.0
173,173.0,3.0
174,174.0,4.0
175,175.0,8.0
176,176.0,5.0
177,177.0,5.0
178,178.0,7.0
179,179.0,8.0
180,180.0,1.0
181,181.0,3.0
182,182.0,5.0
183,183.0,5.0
184,184.0,3.0
185,185.0,6.0
186,186.0,2.0
187,187.0,4.0
188,188.0,2.0
189,189.0,5.0
190,190.0,3.0
191,191.0,3.0
192,192.0,2.0
193,193.0,0.0
194,194.0,2.0
195,195.0,5.0
196,196.0,7.0
197,197.0,5.0
198,198.0,4.0
199,199.0,7.0
200,200.0,5.0
201,201.0,5.0
202,202.0,8.0
203,203.0,6.0
204,204.0,7.0
205,205.0,6.0
206,206.0,3.0
207,207.0,5.0
208,208.0,4.0
209,209.0,5.0
210,210.0,5.0
211,211.0,3.0
212,212.0,2.0
213,213.0,7.0
214,214.0,6.0
215,215.0,4.0
216,216.0,5.0
217,217.0,4.0
218,218.0,2.0
219,219.0,7.0
220,220.0,5.0
221,221.0,5.0
222,222.0,5.0
223,223.0,4.0
224,224.0,8.0
225,225.0,4.0
226,226.0,7.0
227,227.0,5.0
228,228.0,5.0
229,229.0,3.0
230,230.0,2.0
231,231.0,3.0
232,232.0,7.0
233,233.0,4.0
234,234.0,4.0
235,235.0,3.0
236,236.0,6.0
237,237.0,4.0
238,238.0,3.0
239,239.0,5.0
240,240.0,7.0
241,241.0,3.0
242,242.0,5.0
243,243.0,5.0
244,244.0,3.0
245,245.0,2.0
246,246.0,3.0
247,247.0,6.0
248,248.0,5.0
249,249.0,4.0
250,250.0,4.0
251,251.0,7.0
252,252.0,3.0
253,253.0,7.0
254,254.0,4.0
255,255.0,7.0
256,256.0,3.0
257,257.0,6.0
258,258.0,3.0
259,259.0,5.0
260,260.0,4.0
261,261.0,6.0
262,262.0,3.0
263,263.0,4.0
264,264.0,3.0
265,265.0,4.0
266,266.0,7.0
267,267.0,7.0
268,268.0,5.0
269,269.0,4.0
270,270.0,6.0
271,271.0,3.0
272,272.0,4.0
273,273.0,4.0
274,274.0,1.0
275,275.0,5.0
276,276.0,4.0
277,277.0,6.0
278,278.0,6.0
279,279.0,3.0
280,280.0,4.0
281,281.0,1.0
282,282.0,5.0
283,283.0,3.0
284,284.0,3.0
285,285.0,3.0
286,286.0,6.0
287,287.0,7.0
288,288.0,6.0
289,289.0,7.0
290,290.0,7.0
291,291.0,6.0
292,292.0,6.0
293,293.0,3.0
294,294.0,4.0
295,295.0,5.0
296,296.0,9.0
297,297.0,4.0
298,298.0,6.0
299,299.0,1.0
300,300.0,6.0
301,301.0,4.0
302,302.0,6.0
303,303.0,3.0
304,304.0,6.0
305,305.0,5.0
306,306.0,5.0
