,episode,score
0,0.0,2.0
1,1.0,0.0
2,2.0,3.0
3,3.0,0.0
4,4.0,2.0
5,5.0,1.0
6,6.0,0.0
7,7.0,1.0
8,8.0,1.0
9,9.0,4.0
10,10.0,0.0
11,11.0,1.0
12,12.0,3.0
13,13.0,5.0
14,14.0,5.0
15,15.0,1.0
16,16.0,5.0
17,17.0,3.0
18,18.0,3.0
19,19.0,1.0
20,20.0,6.0
21,21.0,1.0
22,22.0,4.0
23,23.0,0.0
24,24.0,4.0
25,25.0,2.0
26,26.0,2.0
27,27.0,2.0
28,28.0,2.0
29,29.0,1.0
30,30.0,2.0
31,31.0,2.0
32,32.0,1.0
33,33.0,3.0
34,34.0,1.0
35,35.0,1.0
36,36.0,3.0
37,37.0,2.0
38,38.0,2.0
39,39.0,1.0
40,40.0,0.0
41,41.0,4.0
42,42.0,3.0
43,43.0,3.0
44,44.0,1.0
45,45.0,0.0
46,46.0,3.0
47,47.0,4.0
48,48.0,3.0
49,49.0,3.0
50,50.0,1.0
51,51.0,3.0
52,52.0,2.0
53,53.0,0.0
54,54.0,2.0
55,55.0,3.0
56,56.0,1.0
57,57.0,0.0
58,58.0,4.0
59,59.0,3.0
60,60.0,6.0
61,61.0,7.0
62,62.0,3.0
63,63.0,3.0
64,64.0,0.0
65,65.0,4.0
66,66.0,2.0
67,67.0,5.0
68,68.0,3.0
69,69.0,6.0
70,70.0,1.0
71,71.0,1.0
72,72.0,5.0
73,73.0,2.0
74,74.0,1.0
75,75.0,3.0
76,76.0,2.0
77,77.0,1.0
78,78.0,3.0
79,79.0,3.0
80,80.0,2.0
81,81.0,2.0
82,82.0,2.0
83,83.0,1.0
84,84.0,4.0
85,85.0,4.0
86,86.0,1.0
87,87.0,3.0
88,88.0,5.0
89,89.0,3.0
90,90.0,1.0
91,91.0,2.0
92,92.0,3.0
93,93.0,2.0
94,94.0,2.0
95,95.0,5.0
96,96.0,3.0
97,97.0,3.0
98,98.0,2.0
99,99.0,4.0
100,100.0,3.0
101,101.0,1.0
102,102.0,0.0
103,103.0,2.0
104,104.0,1.0
105,105.0,2.0
106,106.0,1.0
107,107.0,3.0
108,108.0,0.0
109,109.0,4.0
110,110.0,2.0
111,111.0,2.0
112,112.0,2.0
113,113.0,0.0
114,114.0,1.0
115,115.0,2.0
116,116.0,1.0
117,117.0,3.0
118,118.0,2.0
119,119.0,3.0
120,120.0,4.0
121,121.0,4.0
122,122.0,6.0
123,123.0,2.0
124,124.0,2.0
125,125.0,4.0
126,126.0,0.0
127,127.0,3.0
128,128.0,2.0
129,129.0,3.0
130,130.0,2.0
131,131.0,5.0
132,132.0,4.0
133,133.0,1.0
134,134.0,3.0
135,135.0,1.0
136,136.0,0.0
137,137.0,2.0
138,138.0,3.0
139,139.0,1.0
140,140.0,2.0
141,141.0,3.0
142,142.0,3.0
143,143.0,4.0
144,144.0,1.0
145,145.0,2.0
146,146.0,1.0
147,147.0,1.0
148,148.0,3.0
149,149.0,2.0
150,150.0,0.0
151,151.0,2.0
152,152.0,0.0
153,153.0,2.0
154,154.0,4.0
155,155.0,6.0
156,156.0,1.0
157,157.0,3.0
158,158.0,2.0
159,159.0,3.0
160,160.0,2.0
161,161.0,1.0
162,162.0,5.0
163,163.0,5.0
164,164.0,2.0
165,165.0,2.0
166,166.0,2.0
167,167.0,1.0
168,168.0,0.0
169,169.0,5.0
170,170.0,1.0
171,171.0,2.0
172,172.0,0.0
173,173.0,0.0
174,174.0,2.0
175,175.0,1.0
176,176.0,2.0
177,177.0,3.0
178,178.0,1.0
179,179.0,3.0
180,180.0,5.0
181,181.0,4.0
182,182.0,2.0
183,183.0,2.0
184,184.0,2.0
185,185.0,1.0
186,186.0,4.0
187,187.0,4.0
188,188.0,4.0
189,189.0,2.0
190,190.0,3.0
191,191.0,1.0
192,192.0,2.0
193,193.0,1.0
194,194.0,2.0
195,195.0,3.0
196,196.0,1.0
197,197.0,2.0
198,198.0,1.0
199,199.0,3.0
200,200.0,2.0
201,201.0,5.0
202,202.0,4.0
203,203.0,2.0
204,204.0,1.0
205,205.0,2.0
206,206.0,1.0
207,207.0,4.0
208,208.0,1.0
209,209.0,0.0
210,210.0,3.0
211,211.0,4.0
212,212.0,2.0
213,213.0,0.0
214,214.0,5.0
215,215.0,5.0
216,216.0,4.0
217,217.0,1.0
218,218.0,0.0
219,219.0,3.0
220,220.0,5.0
221,221.0,3.0
222,222.0,3.0
223,223.0,2.0
224,224.0,1.0
225,225.0,2.0
226,226.0,2.0
227,227.0,1.0
228,228.0,2.0
229,229.0,6.0
230,230.0,1.0
231,231.0,3.0
232,232.0,5.0
233,233.0,5.0
234,234.0,0.0
235,235.0,3.0
236,236.0,3.0
237,237.0,2.0
238,238.0,4.0
239,239.0,2.0
240,240.0,4.0
241,241.0,3.0
242,242.0,1.0
243,243.0,2.0
244,244.0,3.0
245,245.0,5.0
246,246.0,1.0
247,247.0,3.0
248,248.0,2.0
249,249.0,3.0
250,250.0,1.0
251,251.0,2.0
252,252.0,4.0
253,253.0,2.0
254,254.0,2.0
255,255.0,3.0
256,256.0,1.0
257,257.0,1.0
258,258.0,3.0
259,259.0,1.0
260,260.0,2.0
261,261.0,4.0
262,262.0,2.0
263,263.0,0.0
264,264.0,4.0
265,265.0,2.0
266,266.0,4.0
267,267.0,3.0
268,268.0,1.0
269,269.0,3.0
270,270.0,2.0
271,271.0,3.0
272,272.0,2.0
273,273.0,1.0
274,274.0,1.0
275,275.0,1.0
276,276.0,2.0
277,277.0,2.0
278,278.0,2.0
279,279.0,3.0
280,280.0,1.0
281,281.0,2.0
282,282.0,2.0
283,283.0,3.0
284,284.0,1.0
285,285.0,1.0
286,286.0,1.0
287,287.0,4.0
288,288.0,4.0
289,289.0,5.0
290,290.0,4.0
291,291.0,2.0
292,292.0,4.0
293,293.0,2.0
294,294.0,1.0
295,295.0,2.0
296,296.0,1.0
297,297.0,3.0
298,298.0,1.0
299,299.0,1.0
