,episode,score,Q_sum
0,0.0,0.0,0.0
1,1.0,3.0,4.9
2,2.0,1.0,103.99658212171872
3,3.0,0.0,181.53035626018178
4,4.0,1.0,394.79582538518173
5,5.0,2.0,676.1154677210038
6,6.0,0.0,1071.521504983806
7,7.0,0.0,1679.9508491717957
8,8.0,1.0,1877.53675645685
9,9.0,0.0,2325.5790651034013
10,10.0,0.0,2552.893606500262
11,11.0,0.0,2940.6086782413695
12,12.0,0.0,3053.8553665458953
13,13.0,1.0,3462.641760488683
14,14.0,3.0,3862.750224141583
15,15.0,0.0,4199.37286620798
16,16.0,1.0,4578.325007743528
17,17.0,0.0,4770.72071433054
18,18.0,1.0,4898.467468822623
19,19.0,0.0,5151.94708250366
20,20.0,0.0,5667.908780948277
21,21.0,1.0,5950.975664967769
22,22.0,1.0,6508.804050949758
23,23.0,0.0,6601.4246248818345
24,24.0,0.0,6790.460020762275
25,25.0,1.0,6913.862233938613
26,26.0,1.0,7041.7062137906405
27,27.0,1.0,7364.57549303409
28,28.0,0.0,7598.983984060515
29,29.0,0.0,7703.6382226581345
30,30.0,0.0,7719.748088681479
31,31.0,0.0,7825.009313451815
32,32.0,0.0,7855.219813559158
33,33.0,0.0,7915.9907520680645
34,34.0,0.0,7955.464204161715
35,35.0,0.0,8046.9024108358935
36,36.0,0.0,8255.583866614532
37,37.0,1.0,8432.819541845369
38,38.0,0.0,8617.42258565567
39,39.0,0.0,8715.715596046284
40,40.0,1.0,9070.36515110754
41,41.0,0.0,9087.690612475286
42,42.0,2.0,9247.767974296388
43,43.0,0.0,9525.20442012771
44,44.0,0.0,9675.031619673004
45,45.0,1.0,9849.121669055832
46,46.0,0.0,9929.710442505504
47,47.0,1.0,10534.194528660682
48,48.0,1.0,10591.989804961866
49,49.0,1.0,10612.291684360018
50,50.0,0.0,10643.8240959729
51,51.0,1.0,11117.194847313764
52,52.0,0.0,11186.584035821554
53,53.0,2.0,11399.86520458058
54,54.0,0.0,11571.654107209732
55,55.0,1.0,11787.239290644564
56,56.0,0.0,11863.496689164702
57,57.0,0.0,12322.243717965943
58,58.0,0.0,12428.660532030299
59,59.0,0.0,12458.154817180508
60,60.0,1.0,12479.995742571702
61,61.0,0.0,12508.574816080465
62,62.0,1.0,12758.393448335486
63,63.0,1.0,12833.036292133456
64,64.0,0.0,12901.65482334789
65,65.0,1.0,12947.027867334295
66,66.0,1.0,13059.420681349733
67,67.0,1.0,13077.932912435892
68,68.0,1.0,13188.192175925611
69,69.0,2.0,13305.154779074343
70,70.0,0.0,13410.313238007522
71,71.0,2.0,13531.340235543152
72,72.0,0.0,13687.825007005304
73,73.0,0.0,13797.284890556799
74,74.0,0.0,13856.069859086329
75,75.0,0.0,13914.621351582406
76,76.0,1.0,13938.597708573347
77,77.0,0.0,14016.159472901109
78,78.0,0.0,14048.864364685875
79,79.0,0.0,14110.427810561558
80,80.0,1.0,14142.699156931893
81,81.0,1.0,14247.914498996164
82,82.0,0.0,14294.893565611375
83,83.0,2.0,14333.609491346773
84,84.0,0.0,14442.43375473118
85,85.0,1.0,14531.702053599933
86,86.0,0.0,14576.668191081144
87,87.0,2.0,14682.807317599272
88,88.0,0.0,14751.378951777097
89,89.0,0.0,14834.759588951456
90,90.0,0.0,14888.123982994006
91,91.0,0.0,14926.055170352469
92,92.0,0.0,14924.27565928969
93,93.0,0.0,14922.278729565489
94,94.0,0.0,14936.883952198888
95,95.0,0.0,14899.9914397201
96,96.0,0.0,14899.824105531681
97,97.0,0.0,15026.048613264456
98,98.0,1.0,15092.442013647316
99,99.0,0.0,15117.662602266013
100,100.0,0.0,15147.63237105112
101,101.0,1.0,15204.214670034886
102,102.0,0.0,15279.332462673854
103,103.0,0.0,15377.726667545845
104,104.0,0.0,15441.802712155195
105,105.0,0.0,15475.43351513497
106,106.0,0.0,15659.952682342484
107,107.0,1.0,15729.040753841142
108,108.0,0.0,15800.360393623308
109,109.0,1.0,15873.246368790647
110,110.0,1.0,15975.831944773514
111,111.0,0.0,16051.849730012367
112,112.0,2.0,16124.08779150544
113,113.0,1.0,16155.665823433601
114,114.0,1.0,16242.45805027842
115,115.0,1.0,16304.399836297827
116,116.0,1.0,16501.78256254668
117,117.0,2.0,16706.442705158886
118,118.0,0.0,16864.87638462621
119,119.0,1.0,17052.040787328668
120,120.0,1.0,17193.83446305071
121,121.0,0.0,17323.46299648987
122,122.0,0.0,17404.60545662484
123,123.0,0.0,17602.11409000458
124,124.0,0.0,17736.05853609561
125,125.0,1.0,17921.701119317375
126,126.0,0.0,17976.840705327126
127,127.0,0.0,18106.183139133384
128,128.0,0.0,18230.405334407416
129,129.0,1.0,18325.674327407814
130,130.0,0.0,18358.273563856357
131,131.0,1.0,18400.02402232793
132,132.0,0.0,18465.526106859765
133,133.0,0.0,18617.588089754347
134,134.0,0.0,18689.166711077345
135,135.0,0.0,18711.664189982977
136,136.0,0.0,18785.30678227046
137,137.0,0.0,18890.575737332656
138,138.0,0.0,18995.24984741815
139,139.0,1.0,19107.40321758415
140,140.0,0.0,19292.806287872794
141,141.0,1.0,19543.506853528692
142,142.0,0.0,19735.33377469621
143,143.0,0.0,19838.305407226948
144,144.0,0.0,19955.104117057406
145,145.0,0.0,20081.882410713166
146,146.0,1.0,20231.75810505554
147,147.0,0.0,20416.870833928926
