,episode,score
0,0.0,15.0
1,1.0,25.0
2,2.0,47.0
3,3.0,10.0
4,4.0,52.0
5,5.0,22.0
6,6.0,9.0
7,7.0,48.0
8,8.0,52.0
9,9.0,19.0
10,10.0,48.0
11,11.0,40.0
12,12.0,2.0
13,13.0,24.0
14,14.0,5.0
15,15.0,50.0
16,16.0,50.0
17,17.0,13.0
18,18.0,6.0
19,19.0,27.0
20,20.0,6.0
21,21.0,8.0
22,22.0,3.0
23,23.0,15.0
24,24.0,34.0
25,25.0,6.0
26,26.0,19.0
27,27.0,2.0
28,28.0,1.0
29,29.0,49.0
30,30.0,10.0
31,31.0,0.0
32,32.0,43.0
33,33.0,10.0
34,34.0,0.0
35,35.0,2.0
36,36.0,25.0
37,37.0,25.0
38,38.0,4.0
39,39.0,16.0
40,40.0,3.0
41,41.0,12.0
42,42.0,7.0
43,43.0,19.0
44,44.0,5.0
45,45.0,15.0
46,46.0,10.0
47,47.0,9.0
48,48.0,1.0
49,49.0,23.0
50,50.0,31.0
51,51.0,1.0
52,52.0,0.0
53,53.0,0.0
54,54.0,1.0
55,55.0,0.0
56,56.0,8.0
57,57.0,6.0
58,58.0,6.0
59,59.0,1.0
60,60.0,12.0
61,61.0,0.0
62,62.0,4.0
63,63.0,6.0
64,64.0,5.0
65,65.0,8.0
66,66.0,9.0
67,67.0,8.0
68,68.0,1.0
69,69.0,3.0
70,70.0,9.0
71,71.0,4.0
72,72.0,18.0
73,73.0,9.0
74,74.0,4.0
75,75.0,1.0
76,76.0,1.0
77,77.0,1.0
78,78.0,12.0
79,79.0,52.0
80,80.0,26.0
81,81.0,21.0
82,82.0,37.0
83,83.0,2.0
84,84.0,1.0
85,85.0,5.0
86,86.0,0.0
87,87.0,34.0
88,88.0,6.0
89,89.0,46.0
90,90.0,1.0
91,91.0,22.0
92,92.0,3.0
93,93.0,21.0
94,94.0,0.0
95,95.0,47.0
96,96.0,32.0
97,97.0,29.0
98,98.0,3.0
99,99.0,2.0
